"province","yearmo","month_alpha","year","total_price_index","house_price_index","land_price_index","region_mean_temp","region_max_temp","region_min_temp","region_mean_precip","region_mean_snow","mean_snow_grnd_last_day"
"PE","202002","February","2020",102,102.4,100.2,-5.588888888888889,7.722222222222222,-22.62222222222222,53.65714285714286,52.65,37
"PE","202001","January","2020",102,102.4,100.2,-5.055555555555555,7.633333333333334,-19.55555555555556,78.39999999999999,78.95,22.33333333333333
"PE","201912","December","2019",102,102.4,100.2,-2.288888888888889,11.4,-11.77777777777778,84.02857142857144,19.7,10.833333333333334
"PE","201911","November","2019",102,102.4,100.2,2.611111111111111,18.466666666666665,-6.444444444444445,131.37142857142857,15.1,4.5
"PE","201910","October","2019",102,102.4,100.2,8.7375,18.3875,0.0374999999999999,106.35,0,0
"PE","201909","September","2019",102,102.4,100.2,13.35,24.825,1.575,170.31666666666666,0,0
"PE","201908","August","2019",101.1,101.2,100.2,19.3125,28.975,7.325,90.88333333333333,0,0
"PE","201907","July","2019",101.1,101.2,100.2,19.15,31.2375,8.5125,39.62857142857143,0,0
"PE","201906","June","2019",101.1,101.2,100.2,14.325,25.9875,3.3375,129.97142857142856,0,0
"PE","201905","May","2019",101.1,101.2,100.2,6.188888888888889,18.155555555555555,-1.911111111111111,81.95,0.5,0
"PE","201904","April","2019",100.1,100,100.2,2.966666666666667,17.98888888888889,-6.011111111111111,133.275,15.05,0.5
"PE","201903","March","2019",100.1,100,100.2,-1.1666666666666667,14.855555555555554,-15.488888888888887,38.32222222222222,23.666666666666668,2.8
"PE","201902","February","2019",100.1,100,100.2,-8.025,6.225,-17.975,58.32222222222222,47.26666666666667,22.875
"PE","201901","January","2019",100.1,100,100.2,-6.199999999999999,9.511111111111113,-20.22222222222222,81.91111111111111,59.56666666666666,10.142857142857142
"PE","201812","December","2018",100.1,100,100.2,-4.333333333333333,11.81111111111111,-15.677777777777775,65.61,55.76666666666667,6.5
"PE","201811","November","2018",100,99.9,100.2,1.4125,17.625,-12.6625,152.41111111111113,54.86666666666667,10
"PE","201810","October","2018",100.2,100.1,100.2,7.337499999999999,19.25,-3.425,143.7,0.2,0
"PE","201809","September","2018",100.3,100.3,100.2,15,26.98888888888889,1.7222222222222223,66.69999999999999,0,0
"PE","201808","August","2018",100.5,100.6,100.2,20.08888888888889,30.200000000000003,10.644444444444444,106.87777777777778,0,""
"PE","201807","July","2018",100.5,100.5,100.2,20.62222222222222,30.38888888888889,8.911111111111111,21.811111111111117,0,""
"PE","201806","June","2018",100.4,100.5,100.1,12.544444444444444,28.022222222222226,-0.9666666666666666,132.88888888888889,0.8,0
"PE","201805","May","2018",100.5,100.6,100.1,8.833333333333334,24.23333333333333,-2.3666666666666667,63.73333333333333,0,0
"PE","201804","April","2018",100.5,100.7,100.1,2.814285714285714,18.685714285714287,-8.185714285714285,80.3875,22.53333333333333,0
"PE","201803","March","2018",100.5,100.6,100.1,-1.457142857142857,6.885714285714286,-12.257142857142856,46.3,56.96666666666666,14
"PE","201802","February","2018",100.3,100.4,100,-4.371428571428572,9.1,-18.085714285714285,68.325,41.06666666666666,8.5
"PE","201801","January","2018",100.3,100.4,100,-6.142857142857143,14.37142857142857,-18.8,64.9625,55.53333333333333,14.428571428571429
"PE","201712","December","2017",100.3,100.4,100,-3.5,10.685714285714283,-17.357142857142858,95.22857142857144,21.35,5.5
"PE","201711","November","2017",100.3,100.4,100,3.0142857142857147,17.685714285714287,-7.371428571428572,109.15714285714286,3.15,0
"PE","201710","October","2017",100.3,100.4,100,11.62857142857143,22.457142857142856,-1.6,43.7,0,0
"PE","201709","September","2017",100.3,100.4,100,15.7,27.842857142857145,2.8714285714285714,64.97142857142858,0,0
"PE","201708","August","2017",100.3,100.4,100,18.257142857142856,28.02857142857143,7.942857142857142,84.81428571428572,0,0
"PE","201707","July","2017",100.3,100.4,100,18.457142857142856,27.61428571428572,7.042857142857143,46.52857142857143,0,""
"PE","201706","June","2017",99.7,99.7,100,15.357142857142858,27.585714285714285,3.142857142857143,69.31428571428572,0,0
"PE","201705","May","2017",99.8,99.8,100,8.842857142857143,25.557142857142857,0.1,143.62857142857143,0,0
"PE","201704","April","2017",100,100,100,3.914285714285714,19.385714285714283,-6.014285714285714,44.58571428571429,0.95,0
"PE","201703","March","2017",100,100,100,-3.957142857142857,7.8428571428571425,-19,44.771428571428565,54.85,7.666666666666667
"PE","201702","February","2017",100,100,100,-5.014285714285714,9.757142857142856,-20.97142857142857,73.42857142857143,91.9,12.4
"PE","201701","January","2017",100,100,100,-4.328571428571428,7.828571428571428,-19.61428571428572,102.29999999999998,52.55,3
"PE","201612","December","2016",100,100,100,-2.5875,9.925,-17.0875,91.8125,62.4,4.4
"PE","201611","November","2016",100,100,100,4.9125,14.15,-1.5,99.6375,34.800000000000004,19
"PE","201610","October","2016",100,100,100,9.825,22.425,-0.7625000000000001,140.2125,0,0
"PE","201609","September","2016",100,100,100,15.3125,26.9,4.625,72.7,0,0
"PE","201608","August","2016",100,100,100,18.5,27.8125,9.2875,102.6,0,0
"PE","201607","July","2016",100,100,100,18.5,28.7375,8.6125,57.2875,0,0
"PE","201606","June","2016",100,100,100,14.2875,27.3875,1,71.1625,0,0
"PE","201605","May","2016",100,100,100,9.4,26.2375,-1.9125,72.5125,0,0
